i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y,i /V9/MINUS; dc (I) X,i /V9/MINUS; dc (I) Y,i /V8/MINUS; dc (I) X,i /V8/MINUS; dc (I) Y
-40,7.314492627112068e-05,-40,3.884883745366682e-11,-40,6.595432013623755e-08
-36.2,7.323038917269387e-05,-36.2,3.931198089573203e-11,-36.2,7.3860425664919e-08
-32.40000000000001,7.331118923538083e-05,-32.40000000000001,3.981833071664121e-11,-32.40000000000001,8.245953251483747e-08
-28.6,7.338795573337559e-05,-28.6,4.037369430655269e-11,-28.6,9.178832504872556e-08
-24.8,7.346131349769484e-05,-24.8,4.098511976702079e-11,-24.8,1.018839704644489e-07
-21,7.353184069731174e-05,-21,4.166120945258438e-11,-21,1.127841828407962e-07
-17.2,7.360004113624221e-05,-17.2,4.241250308673024e-11,-17.2,1.245272385539875e-07
-13.4,7.366633318139237e-05,-13.4,4.32519394055517e-11,-13.4,1.371520484929746e-07
-9.600000000000001,7.373105175310486e-05,-9.600000000000001,4.419540874477666e-11,-9.600000000000001,1.506981661023415e-07
-5.800000000000002,7.37944599534012e-05,-5.800000000000002,4.526240223926529e-11,-5.800000000000002,1.652059577434733e-07
-2.000000000000002,7.385676006735428e-05,-2.000000000000002,4.647678683242347e-11,-2.000000000000002,1.80716259029874e-07
1.799999999999998,7.39181077635122e-05,1.799999999999998,4.786769753874695e-11,1.799999999999998,1.972709372903273e-07
5.599999999999998,7.397862282953506e-05,5.599999999999998,4.947057781736818e-11,5.599999999999998,2.149127905003872e-07
9.399999999999999,7.403839801439093e-05,9.399999999999999,5.132837578316938e-11,9.399999999999999,2.336856693222757e-07
13.2,7.409750581883238e-05,13.2,5.349291218820002e-11,13.2,2.53634660595176e-07
17,7.415600354126163e-05,17,5.602643521590103e-11,17,2.748058165889547e-07
20.8,7.421393710639274e-05,20.8,5.900337630950872e-11,20.8,2.972467712098443e-07
24.6,7.42713436882127e-05,24.6,6.251232681495785e-11,24.6,3.21006528273984e-07
28.4,7.432825393253591e-05,28.4,6.665823737750781e-11,28.4,3.461364727041089e-07
32.2,7.43846932943209e-05,32.2,7.15648711285134e-11,32.2,3.726900795803219e-07
36,7.444068319512058e-05,36,7.737751112459875e-11,36,4.007233211145671e-07
39.8,7.449624185179633e-05,39.8,8.426593964686505e-11,39.8,4.302949603143393e-07
43.59999999999999,7.455138490238443e-05,43.59999999999999,9.242770010148035e-11,43.59999999999999,4.614668725246751e-07
47.39999999999999,7.460612588478607e-05,47.39999999999999,1.020916514966293e-10,47.39999999999999,4.943043882818718e-07
51.19999999999999,7.466047661015562e-05,51.19999999999999,1.135218244575758e-10,51.19999999999999,5.288766553505442e-07
54.99999999999999,7.471444745889111e-05,54.99999999999999,1.270215862357089e-10,54.99999999999999,5.65257017492765e-07
58.79999999999998,7.47680476242673e-05,58.79999999999998,1.429381199728564e-10,58.79999999999998,6.035234077850828e-07
62.59999999999998,7.482128531940262e-05,62.59999999999998,1.616672227595805e-10,62.59999999999998,6.437587538086573e-07
66.39999999999998,7.487416796361818e-05,66.39999999999998,1.83658423794394e-10,66.39999999999998,6.860513920342515e-07
70.19999999999997,7.492670236016695e-05,70.19999999999997,2.094204236123969e-10,70.19999999999997,7.304954888779514e-07
73.99999999999997,7.497889487682772e-05,73.99999999999997,2.395268519386656e-10,73.99999999999997,7.771914653165139e-07
77.79999999999997,7.503075164200976e-05,77.79999999999997,2.746223411771991e-10,77.79999999999997,8.262464224354446e-07
81.59999999999997,7.508227876894327e-05,81.59999999999997,3.154289094777324e-10,81.59999999999997,8.777745650424728e-07
85.39999999999996,7.513348262247385e-05,85.39999999999996,3.627526469065456e-10,85.39999999999996,9.318976203669322e-07
89.19999999999996,7.518437014534884e-05,89.19999999999996,4.174906958495046e-10,89.19999999999996,9.887452494118176e-07
92.99999999999996,7.523494926617397e-05,92.99999999999996,4.806385158480256e-10,92.99999999999996,1.048455448272167e-06
96.79999999999995,7.528522941150171e-05,96.79999999999995,5.532974226743679e-10,96.79999999999995,1.111174937206277e-06
100.6,7.533522215648793e-05,100.6,6.366823905482016e-10,100.6,1.177059535157252e-06
104.3999999999999,7.538494205007339e-05,104.3999999999999,7.321301070548672e-10,104.3999999999999,1.246274518319127e-06
108.1999999999999,7.543440766245376e-05,108.1999999999999,8.411072716275781e-10,108.1999999999999,1.31899496098162e-06
111.9999999999999,7.548364291420566e-05,111.9999999999999,9.652191296881537e-10,111.9999999999999,1.395406058212116e-06
115.7999999999999,7.553267875623558e-05,115.7999999999999,1.106218238886592e-09,115.7999999999999,1.475703429514313e-06
119.5999999999999,7.558155528804252e-05,119.5999999999999,1.266013467240157e-09,119.5999999999999,1.560093404261333e-06
123.3999999999999,7.563032442056324e-05,123.3999999999999,1.446679230268195e-09,123.3999999999999,1.64879328955687e-06
127.1999999999999,7.567905321294656e-05,127.1999999999999,1.650464981841382e-09,127.1999999999999,1.742031622946921e-06
130.9999999999999,7.572782803898262e-05,130.9999999999999,1.879804983910118e-09,130.9999999999999,1.840048412751294e-06
134.8,7.577675976848723e-05,134.8,2.13732839457356e-09,134.8,1.943095370471558e-06
138.6,7.58259901897004e-05,138.6,2.425869729252076e-09,138.6,2.051436141385315e-06
142.4,7.587569994129167e-05,142.4,2.748479771468546e-09,142.4,2.165346540602004e-06
146.2,7.59261182730381e-05,146.2,3.108437033758456e-09,146.2,2.285114804880803e-06
150,7.597753501418887e-05,150,3.509259899841379e-09,150,2.411041872027295e-06
