i /V0/MINUS; dc (I) X,i /V0/MINUS; dc (I) Y,i /V1/MINUS; dc (I) X,i /V1/MINUS; dc (I) Y,i /V5/MINUS; dc (I) X,i /V5/MINUS; dc (I) Y,i /V6/MINUS; dc (I) X,i /V6/MINUS; dc (I) Y
-40,2.868986625471986e-10,-40,0.0001578482562765124,-40,3.469169111833459e-11,-40,4.032954044191501e-10
-36.2,2.869752573746792e-10,-36.2,0.0001576144471084548,-36.2,3.469177147312727e-11,-36.2,4.130101735242911e-10
-32.40000000000001,2.870575390128268e-10,-32.40000000000001,0.0001573855818220093,-32.40000000000001,3.469187315978344e-11,-32.40000000000001,4.248952373500084e-10
-28.6,2.871555813580488e-10,-28.6,0.0001571601147846357,-28.6,3.469200829522883e-11,-28.6,4.394926017523642e-10
-24.8,2.872803026392407e-10,-24.8,0.0001569401778912544,-24.8,3.469219553499471e-11,-24.8,4.574587516845335e-10
-21,2.874452001516275e-10,-21,0.0001567253899745087,-21,3.469246337232907e-11,-21,4.795826962984297e-10
-17.2,2.876689288355045e-10,-17.2,0.0001565131625044277,-17.2,3.469285493880631e-11,-17.2,5.068025182163816e-10
-13.4,2.879780184736943e-10,-13.4,0.0001563044269030617,-13.4,3.469343490832452e-11,-13.4,5.401907550287095e-10
-9.600000000000001,2.884087685216283e-10,-9.600000000000001,0.0001560989567987575,-9.600000000000001,3.46942993146271e-11,-9.600000000000001,5.808981012414596e-10
-5.800000000000002,2.890110228901843e-10,-5.800000000000002,0.0001558965473096643,-5.800000000000002,3.469558935317388e-11,-5.800000000000002,6.304683380002591e-10
-2.000000000000002,2.89852419810381e-10,-2.000000000000002,0.0001556970163363203,-2.000000000000002,3.469751057357595e-11,-2.000000000000002,6.908778453498374e-10
1.799999999999998,2.910236162146112e-10,1.799999999999998,0.000155500200806131,1.799999999999998,3.470035927860683e-11,1.799999999999998,7.642245792341298e-10
5.599999999999998,2.926457799797543e-10,5.599999999999998,0.0001553059569775396,5.599999999999998,3.470455844000353e-11,5.599999999999998,8.528582024373907e-10
9.399999999999999,2.948787122475888e-10,9.399999999999999,0.000155114160129083,9.399999999999999,3.471070601522204e-11,9.399999999999999,9.596859646443443e-10
13.2,2.979319185084466e-10,13.2,0.0001549247040925393,13.2,3.471963918362813e-11,13.2,1.087965428799081e-09
17,3.020777699319581e-10,17,0.0001547375045603971,17,3.473251867051244e-11,17,1.241383413137176e-09
20.8,3.076678672449959e-10,20.8,0.0001545517408534301,20.8,3.475093791435304e-11,20.8,1.424135967690672e-09
24.6,3.151531218399543e-10,24.6,0.0001543689026488356,24.6,3.477706223940009e-11,24.6,1.64096425050077e-09
28.4,3.251080455136193e-10,28.4,0.0001541882046919894,28.4,3.481380330789244e-11,28.4,1.897203724025642e-09
32.2,3.382601140316831e-10,32.2,0.0001540096304719679,32.2,3.486503382784423e-11,32.2,2.198836579722281e-09
36,3.555259802735834e-10,36,0.000153833214098096,36,3.493584691824814e-11,36,2.552545671061174e-09
39.8,3.780551121197797e-10,39.8,0.0001536590075670572,39.8,3.503286394397083e-11,39.8,2.965769747755326e-09
43.59999999999999,4.072829629430604e-10,43.59999999999999,0.0001534870898457914,43.59999999999999,3.516459428837017e-11,43.59999999999999,3.446759968022288e-09
47.39999999999999,4.449951999457959e-10,47.39999999999999,0.0001533175692490582,47.39999999999999,3.534184990528377e-11,47.39999999999999,4.004637569389979e-09
51.19999999999999,4.934070150307429e-10,51.19999999999999,0.0001531505792419459,51.19999999999999,3.557831954644793e-11,51.19999999999999,4.649452517866436e-09
54.99999999999999,5.552602386952617e-10,54.99999999999999,0.0001529862870766846,54.99999999999999,3.589934819822096e-11,54.99999999999999,5.392242923162877e-09
58.79999999999998,6.33943094293357e-10,58.79999999999998,0.0001528254502146223,58.79999999999998,3.64419278948364e-11,58.79999999999998,6.245094989554594e-09
62.59999999999998,7.336388044030579e-10,62.59999999999998,0.000152667174076221,62.59999999999998,3.728076269627491e-11,62.59999999999998,7.221203267838813e-09
66.39999999999998,8.595123870695181e-10,66.39999999999998,0.0001525123072508533,66.39999999999998,3.839345111968099e-11,66.39999999999998,8.3349309492118e-09
70.19999999999997,1.017944421206245e-09,70.19999999999997,0.0001523606529214341,70.19999999999997,3.982263450099191e-11,70.19999999999997,9.601869971477812e-09
73.99999999999997,1.216827695194737e-09,73.99999999999997,0.0001522135981529825,73.99999999999997,4.163142533472917e-11,73.99999999999997,1.10389006739966e-08
77.79999999999997,1.465944615517902e-09,77.79999999999997,0.0001520710330183836,77.79999999999997,4.389138779070512e-11,77.79999999999997,1.266425077916682e-08
81.59999999999997,1.777449834646656e-09,81.59999999999997,0.0001519334013005319,81.59999999999997,4.667740921365101e-11,81.59999999999997,1.449755345399325e-08
85.39999999999996,2.166489999295288e-09,85.39999999999996,0.0001518012098840405,85.39999999999996,5.006153828355482e-11,85.39999999999996,1.65599042523783e-08
89.19999999999996,2.652001072922563e-09,89.19999999999996,0.0001516754714490658,89.19999999999996,5.384615884006901e-11,89.19999999999996,1.887391674057331e-08
92.99999999999996,3.257736795925018e-09,92.99999999999996,0.0001515558976016766,92.99999999999996,5.827017775823797e-11,92.99999999999996,2.146377665015877e-08
96.79999999999995,4.013596916610789e-09,96.79999999999995,0.0001514436406921206,96.79999999999995,6.395786550299362e-11,96.79999999999995,2.435529442745991e-08
100.6,4.95734406833526e-09,100.6,0.0001513394630079071,100.6,7.128325334005449e-11,100.6,2.757595611497892e-08
104.3999999999999,6.136801306685139e-09,104.3999999999999,0.0001512442049764602,104.3999999999999,8.069548992700357e-11,104.3999999999999,3.115497254126793e-08
108.1999999999999,7.612561314213523e-09,108.1999999999999,0.0001511583979811542,108.1999999999999,9.275181943501506e-11,108.1999999999999,3.512332688339824e-08
111.9999999999999,9.461972777972222e-09,111.9999999999999,0.0001510838560933842,111.9999999999999,1.081444701664909e-10,111.9999999999999,3.951382075232836e-08
115.7999999999999,1.178352974161647e-08,115.7999999999999,0.0001510213020333955,115.7999999999999,1.277314165717843e-10,115.7999999999999,4.436111907271608e-08
119.5999999999999,1.470292533126171e-08,119.5999999999999,0.0001509719632091812,119.5999999999999,1.525728484021314e-10,119.5999999999999,4.970179415145194e-08
123.3999999999999,1.838065839846744e-08,123.3999999999999,0.0001509371951269304,123.3999999999999,1.839746062000597e-10,123.3999999999999,5.557436951467376e-08
127.1999999999999,2.302168628022623e-08,127.1999999999999,0.0001509184873516536,127.1999999999999,2.235398287501395e-10,127.1999999999999,6.201936428648309e-08
130.9999999999999,2.888762903352744e-08,130.9999999999999,0.0001509174778739915,130.9999999999999,2.732301940715267e-10,130.9999999999999,6.907933913220702e-08
134.8,3.631214429520696e-08,134.8,0.0001509359681496281,134.8,3.35438303826643e-10,134.8,7.679894508686657e-08
138.6,4.572021958467387e-08,138.6,0.0001509759394525271,138.6,4.130729574997892e-10,138.6,8.52249769443415e-08
142.4,5.765228863074685e-08,142.4,0.0001510395707247129,142.4,5.096592814483401e-10,142.4,9.440643331101443e-08
146.2,7.279425898266237e-08,146.2,0.0001511292572920175,146.2,6.294559182778152e-10,146.2,1.043945859350085e-07
150,9.201475357464924e-08,150,0.0001512476305331799,150,7.775917442680871e-10,150,1.152430615270272e-07
