v /net10; dc (V) X,v /net10; dc (V) Y,v /net37; dc (V) X,v /net37; dc (V) Y
-40,1.4462718975893e-06,-40,0.6661128094491545
-36.2,1.529076196522098e-06,-36.2,0.6660874668270904
-32.40000000000001,1.627002760747875e-06,-32.40000000000001,0.6660512047607478
-28.6,1.741643211251779e-06,-28.6,0.6659968347049833
-24.8,1.874395465108439e-06,-24.8,0.6659130449149234
-21,2.026172710639292e-06,-21,0.665782319510746
-17.2,2.196612453264437e-06,-17.2,0.6655779458339776
-13.4,2.382662224537637e-06,-13.4,0.6652597731468585
-9.600000000000001,2.578958981611335e-06,-9.600000000000001,0.6647682884983405
-5.800000000000002,2.785946676559731e-06,-5.800000000000002,0.6640164637289375
-2.000000000000002,3.015164349903932e-06,-2.000000000000002,0.6628787084604073
1.799999999999998,3.27423285629529e-06,1.799999999999998,0.6611761540470066
5.599999999999998,3.547333542536534e-06,5.599999999999998,0.6586574274697571
9.399999999999999,3.717787384055467e-06,9.399999999999999,0.6549741151103373
13.2,3.772756883744703e-06,13.2,0.6496503730369237
17,3.805710199245275e-06,17,0.642046788864725
20.8,3.838044755100413e-06,20.8,0.6313199046326944
24.6,3.872565534898393e-06,24.6,0.6163811249818103
28.4,3.909207720914652e-06,28.4,0.5958624829220988
32.2,3.94807533371709e-06,32.2,0.5681022464212476
36,3.989787637547793e-06,36,0.5311707095418734
39.8,4.035349342135539e-06,39.8,0.4829653312328921
43.59999999999999,4.08610366208988e-06,43.59999999999999,0.4214147233607053
47.39999999999999,4.143751114108776e-06,47.39999999999999,0.3448502921445354
51.19999999999999,4.21040646826028e-06,51.19999999999999,0.2527359410131508
54.99999999999999,4.288681141862018e-06,54.99999999999999,0.150467675394003
58.79999999999998,4.381786723768601e-06,58.79999999999998,0.08347595231678834
62.59999999999998,4.493659287728532e-06,62.59999999999998,0.05893291519416
66.39999999999998,4.629106040476643e-06,66.39999999999998,0.04707697507145849
70.19999999999997,4.793976954067095e-06,70.19999999999997,0.03960561178011475
73.99999999999997,4.995366261996792e-06,73.99999999999997,0.03408725986047535
77.79999999999997,5.241836850563709e-06,77.79999999999997,0.02950571831037128
81.59999999999997,5.543706298595832e-06,81.59999999999997,0.02540664270390557
85.39999999999996,5.913338099180334e-06,85.39999999999996,0.02154924587358038
89.19999999999996,6.365508151141993e-06,89.19999999999996,0.01700777735277763
92.99999999999996,6.917965486460018e-06,92.99999999999996,0.01286376990807187
96.79999999999995,7.591805510724787e-06,96.79999999999995,0.009909330446811596
100.6,8.411917568529889e-06,100.6,0.007751726698364966
104.3999999999999,9.407721337569183e-06,104.3999999999999,0.006140800200873648
108.1999999999999,1.061390648948019e-05,108.1999999999999,0.004918128898066787
111.9999999999999,1.20712855028129e-05,111.9999999999999,0.003978666635526359
115.7999999999999,1.382777656686161e-05,115.7999999999999,0.003250051270451732
119.5999999999999,1.593953783875439e-05,119.5999999999999,0.00268098629811578
123.3999999999999,1.847227653243904e-05,123.3999999999999,0.002234290770358714
127.1999999999999,2.150276056990893e-05,127.1999999999999,0.001882547506023139
130.9999999999999,2.512056602522412e-05,130.9999999999999,0.001605262691935486
134.8,2.943010595887275e-05,134.8,0.00138695095866385
138.6,3.455298070040706e-05,138.6,0.001215810209495138
142.4,4.063063211630694e-05,142.4,0.001082784906087696
146.2,4.782752463611178e-05,146.2,0.0009808923587935545
150,5.633476113500409e-05,150,0.0009047312330843413
