/I9/VDD1V5 X,/I9/VDD1V5 Y,/I9/VDDP5V X,/I9/VDDP5V Y,/I9/VDDVS X,/I9/VDDVS Y
-40,1.004346367718888e-05,-40,-1.038541456019584e-09,-40,0.001646529119148466
-35.2,1.012362168181613e-05,-35.2,-1.069309059540054e-09,-35.2,0.001659572732548039
-30.4,1.020407457406724e-05,-30.4,-1.099226830975706e-09,-30.4,0.001672522761969382
-25.6,1.028479772790553e-05,-25.6,-1.128354781279192e-09,-25.6,0.001685381745948821
-20.8,1.036576966327823e-05,-20.8,-1.156758688211942e-09,-20.8,0.001698152240948603
-16,1.04469730527288e-05,-16,-1.184506987498523e-09,-16,0.001710836868173231
-11.2,1.052839817286016e-05,-11.2,-1.211668998719204e-09,-11.2,0.001723438365730923
-6.399999999999999,1.061004629943587e-05,-6.399999999999999,-1.238307084564942e-09,-6.399999999999999,0.001735959648043864
-1.6,1.06919330787775e-05,-1.6,-1.264490637876151e-09,-1.6,0.00174840387224546
3.2,1.077409194859394e-05,3.2,-1.290305218433509e-09,3.2,0.001760774507197621
8,1.085657770793257e-05,8,-1.315827429034838e-09,8,0.001773075416853136
12.8,1.09394701236798e-05,12.8,-1.341118251772491e-09,12.8,0.001785310951139656
17.6,1.102287757644868e-05,17.6,-1.366233127310991e-09,17.6,0.001797486044202817
22.4,1.110694089073408e-05,22.4,-1.391224985510864e-09,22.4,0.001809606325177511
27.2,1.119183720298955e-05,27.2,-1.416125864479397e-09,27.2,0.001821678229289626
32,1.127778383769125e-05,32,-1.440942490587026e-09,32,0.001833709102109514
36.8,1.136504218855314e-05,36.8,-1.465661988469728e-09,36.8,0.001845707287736672
41.59999999999999,1.145392157880646e-05,41.59999999999999,-1.490271163049614e-09,41.59999999999999,0.001857682177079534
46.39999999999999,1.154478309609294e-05,46.39999999999999,-1.514803897082871e-09,46.39999999999999,0.00186964419859198
51.19999999999999,1.163804341306022e-05,51.19999999999999,-1.539440958842881e-09,51.19999999999999,0.001881604731556036
55.99999999999999,1.173417861746761e-05,55.99999999999999,-1.564700570032974e-09,55.99999999999999,0.001893575908787435
60.79999999999998,1.183372808834539e-05,60.79999999999998,-1.591777619477288e-09,60.79999999999998,0.001905570329979152
65.59999999999998,1.193729846826802e-05,65.59999999999998,-1.623116381312155e-09,65.59999999999998,0.001917600662101877
70.39999999999998,1.204556780130919e-05,70.39999999999998,-1.663338580785546e-09,70.39999999999998,0.001929679197995568
75.19999999999997,1.21592899417686e-05,75.19999999999997,-1.720701159615178e-09,75.19999999999997,0.001941817385520762
79.99999999999997,1.227849420916501e-05,79.99999999999997,-1.809481520250092e-09,79.99999999999997,0.001954023298442713
84.79999999999997,1.240568193942239e-05,84.79999999999997,-1.952748828309023e-09,84.79999999999997,0.001966309564826315
89.59999999999997,1.254109642896367e-05,89.59999999999997,-2.188407147116733e-09,89.59999999999997,0.001978680991416975
94.39999999999996,1.268584359110738e-05,94.39999999999996,-2.576045976821459e-09,94.39999999999996,0.001991142408182969
99.19999999999996,1.284115214535933e-05,99.19999999999996,-3.208185665778526e-09,99.19999999999996,0.00200369676208904
104,1.300838260816306e-05,104,-4.226420626290489e-09,104,0.00201634523142835
108.8,1.318905215693589e-05,108.8,-5.844703597769922e-09,108.8,0.002029087412879755
113.6,1.338487255187426e-05,113.6,-8.382586511064532e-09,113.6,0.002041921534403806
118.3999999999999,1.359780704559353e-05,118.3999999999999,-1.231216842473623e-08,118.3999999999999,0.002054844632044384
123.1999999999999,1.383015618254266e-05,123.1999999999999,-1.832373491816281e-08,123.1999999999999,0.002067852605165126
127.9999999999999,1.408601836312824e-05,127.9999999999999,-2.741640400128932e-08,127.9999999999999,0.002080943209731163
132.8,1.436629338907677e-05,132.8,-4.102239805501101e-08,132.8,0.002094102123310952
137.6,1.467663565638591e-05,137.6,-6.118067601256982e-08,137.6,0.002107321011118723
142.4,1.502295272867665e-05,142.4,-9.075936687987504e-08,142.4,0.002120582476652965
147.2,1.541347326281012e-05,147.2,-1.337645112204388e-07,147.2,0.002133864775572422
152,1.586020681829202e-05,152,-1.957477922338047e-07,152,0.002147153358773214
156.8,1.637836883712826e-05,156.8,-2.843209313488998e-07,156.8,0.00216046485532183
161.6,1.700391058109991e-05,161.6,-4.098877128479641e-07,161.6,0.002173870454647398
166.4,1.778945030563221e-05,166.4,-5.86525700545203e-07,166.4,0.002187494510853654
171.2,1.886618157027951e-05,171.2,-8.331617005287218e-07,171.2,0.002201498466972645
176.0000000000001,2.054960033869618e-05,176.0000000000001,-1.175069988724726e-06,176.0000000000001,0.002216062783432851
180.8000000000001,2.610440605477862e-05,180.8000000000001,-1.645780486440479e-06,180.8000000000001,0.002231377904779512
185.6000000000001,1.409431476177398e-05,185.6000000000001,-2.289494443146779e-06,185.6000000000001,0.002247642744564737
190.4000000000001,1.408220095012916e-05,190.4000000000001,-3.164124838938882e-06,190.4000000000001,0.002265066811631517
195.2000000000001,1.409434341183266e-05,195.2000000000001,-4.345101581637351e-06,195.2000000000001,0.002283873661202161
200,1.412298993027994e-05,200,-5.930108036045505e-06,200,0.002304305137073621
