/I6/VDD1V5 X,/I6/VDD1V5 Y,/I6/VDDP5V X,/I6/VDDP5V Y,/I6/VDDVS X,/I6/VDDVS Y
-40,5.34888891004154e-10,-40,1.683618620221695e-10,-40,1.341123630007836e-09
-35.2,5.477527503358363e-10,-35.2,1.683967711865114e-10,-35.2,1.342640160503432e-09
-30.4,5.647287491704838e-10,-30.4,1.684315526862097e-10,-30.4,1.344285269053053e-09
-25.6,5.872482539185847e-10,-25.6,1.684669742775016e-10,-25.6,1.345595335024381e-09
-20.8,6.1716223732566e-10,-20.8,1.685055618503507e-10,-20.8,1.347235210008248e-09
-16,6.568375469209299e-10,-16,1.685509291091555e-10,-16,1.348647567996726e-09
-11.2,7.092744946797886e-10,-11.2,1.686083604293031e-10,-11.2,1.350411034498378e-09
-6.399999999999999,7.782732872253224e-10,-6.399999999999999,1.686864883535986e-10,-6.399999999999999,1.351893519340236e-09
-1.6,8.686583365654652e-10,-1.6,1.687979538163473e-10,-1.6,1.353581140800425e-09
3.2,9.865060758584306e-10,3.2,1.68964527073239e-10,3.2,1.354765953205387e-09
8,1.140047680850827e-09,8,1.692202540482112e-10,8,1.356635959673791e-09
12.8,1.341229412349353e-09,12.8,1.696222569869004e-10,12.8,1.358420601777221e-09
17.6,1.596624369504263e-09,17.6,1.702766743321877e-10,17.6,1.35969775349177e-09
22.4,1.915925392503453e-09,22.4,1.713979572600297e-10,22.4,1.361211820490904e-09
27.2,2.315349228499995e-09,27.2,1.735343711868465e-10,27.2,1.363275687828935e-09
32,2.813476016811165e-09,32,1.78509431895025e-10,32,1.36511851975856e-09
36.8,3.431405845359665e-09,36.8,1.905961654159614e-10,36.8,1.367941481058651e-09
41.59999999999999,4.193387048939267e-09,41.59999999999999,2.084479136086174e-10,41.59999999999999,1.373224354747657e-09
46.39999999999999,5.127321066406881e-09,46.39999999999999,2.1480006653597e-10,46.39999999999999,1.401247170489477e-09
51.19999999999999,6.26515257599057e-09,51.19999999999999,2.219103887305235e-10,51.19999999999999,1.445292364933358e-09
55.99999999999999,7.643221406151231e-09,55.99999999999999,2.318992359339118e-10,55.99999999999999,1.507109118846647e-09
60.79999999999998,9.302582046134028e-09,60.79999999999998,2.461174260551939e-10,60.79999999999998,1.59628359807234e-09
65.59999999999998,1.128929002480145e-08,65.59999999999998,2.664274873592179e-10,65.59999999999998,1.721418898474294e-09
70.39999999999998,1.365464903799071e-08,70.39999999999998,2.954985606473163e-10,70.39999999999998,1.899168237985288e-09
75.19999999999997,1.645539772098757e-08,75.19999999999997,3.371922942481718e-10,75.19999999999997,2.150786875861158e-09
79.99999999999997,1.975392685198741e-08,79.99999999999997,3.971171302437745e-10,79.99999999999997,2.508166634480766e-09
84.79999999999997,2.361829121497798e-08,84.79999999999997,4.834397310186824e-10,84.79999999999997,3.015749763693596e-09
89.59999999999997,2.812232265844893e-08,89.59999999999997,6.080627416257592e-10,89.59999999999997,3.738215759067582e-09
94.39999999999996,3.334561944667064e-08,94.39999999999996,7.883284319902019e-10,94.39999999999996,4.769359573719815e-09
99.19999999999996,3.937350102007085e-08,99.19999999999996,1.049465189775095e-09,99.19999999999996,6.244835099755266e-09
104,4.629691358319349e-08,104,1.428073899925354e-09,104,8.357974470484242e-09
108.8,5.421228535503686e-08,108.8,1.977068057229432e-09,108.8,1.138855227236976e-08
113.6,6.322133253404144e-08,113.6,2.772608525302212e-09,113.6,1.573886158336769e-08
118.3999999999999,7.343082946017965e-08,118.3999999999999,3.923778303333078e-09,118.3999999999999,2.198105866854029e-08
123.1999999999999,8.495238135077827e-08,123.1999999999999,5.585953530792274e-09,123.1999999999999,3.092926088559493e-08
127.9999999999999,9.790225689079978e-08,127.9999999999999,7.979162291974798e-09,127.9999999999999,4.373629442804597e-08
132.8,1.124013087326752e-07,132.8,1.141307796046194e-08,132.8,6.202069687085086e-08
137.6,1.285749263906679e-07,137.6,1.632079709497761e-08,137.6,8.805012323404191e-08
142.4,1.465529102772077e-07,142.4,2.330414876101872e-08,142.4,1.249725135244113e-07
147.2,1.664692155908297e-07,147.2,3.319402535567195e-08,147.2,1.771391391250605e-07
152,1.884617146839967e-07,152,4.713014772811211e-08,152,2.505221180698088e-07
156.8,2.126725576724495e-07,156.8,6.666578927704265e-08,156.8,3.532704957284573e-07
161.6,2.392505345026713e-07,161.6,9.390435193986708e-08,161.6,4.964277305545144e-07
166.4,2.683573974049536e-07,166.4,1.316762957411857e-07,166.4,6.948718364050625e-07
171.2,3.001771565201916e-07,171.2,1.837669051219631e-07,171.2,9.685210951942849e-07
176.0000000000001,3.349199987907504e-07,176.0000000000001,2.552076661114832e-07,176.0000000000001,1.343877247833257e-06
180.8000000000001,3.728147163285158e-07,180.8000000000001,3.526467920875952e-07,180.8000000000001,1.85599978883477e-06
185.6000000000001,4.140986179839909e-07,185.6000000000001,4.848176411744456e-07,185.6000000000001,2.551007914274728e-06
190.4000000000001,4.590145007442085e-07,190.4000000000001,6.631275497453953e-07,190.4000000000001,3.489265324429156e-06
195.2000000000001,5.078130607875886e-07,195.2000000000001,9.023939597660948e-07,195.2000000000001,4.749455475129082e-06
200,5.607592823933318e-07,200,1.2217598016242e-06,200,6.433963295882359e-06
